,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
dw_0240_3,823603.0,115408.0,15192.0,3.0,-1.4988706795873137,269.32243636121547,403.67950321684606,1211.0385096505381,1640736.0
dw_0289_3,814496.0,106301.0,6085.0,3.0,-1.0138289659345643,144.65995556827443,146.66045316592368,439.98135949777105,657180.0
dw_0010_1,814802.0,106607.0,6391.0,1.0,-1.0891288006609288,423.97767269062166,461.7662941645486,461.7662941645486,2070684.0
dw_0153_1,815321.0,107126.0,6910.0,1.0,-0.4632819603121155,550.9709850283216,255.25491801901805,255.25491801901805,2238840.0
dw_0152_3,822756.0,114561.0,14345.0,3.0,-0.841087099434313,271.65421305344995,228.48485410623712,685.4545623187114,1549260.0
dw_0284_4,833666.0,125471.0,25255.0,4.0,-1.0145446183560964,515.9779214987612,523.4826234471326,2093.9304937885304,2045655.0
dw_0252_1,812358.0,104163.0,3947.0,1.0,-1.2916267487538051,198.98995230961697,257.0207451363453,257.0207451363453,1278828.0
dw_0127_2,827630.0,119435.0,19219.0,2.0,-1.2353490441782795,517.4780349793823,639.2659958950342,1278.5319917900683,3113478.0
dw_0265_3,824405.0,116210.0,15994.0,3.0,-1.0060324812187662,324.3191438932961,326.27559303771875,978.8267791131562,1727352.0
dw_0280_1,812478.0,104283.0,4067.0,1.0,-0.747411416151145,240.98783169130564,180.11705655959253,180.11705655959253,1317708.0
dw_0214_3,822153.0,113958.0,13742.0,3.0,-1.3643452025780747,245.65555088074055,335.1589723308125,1005.4769169924375,1484136.0
dw_0117_4,819821.0,111626.0,11410.0,4.0,-1.607238157895155,170.9931652774013,274.8267399731122,1099.3069598924487,924210.0
dw_0111_2,828826.0,120631.0,20415.0,2.0,-1.2463529041411854,569.4757813839642,709.7677939659745,1419.535587931949,3307230.0
dw_0175_1,816237.0,108042.0,7826.0,1.0,-1.4569936314071923,470.9751977291527,686.2078636421186,686.2078636421186,2535624.0
dw_0225_2,813797.0,105602.0,5386.0,2.0,-0.9761901663672914,121.99517421360085,119.09048941158171,238.18097882316343,872532.0
dw_0208_2,822306.0,114111.0,13895.0,2.0,-1.5388141349526459,326.98792031785234,503.17363374388066,1006.3472674877613,2250990.0
dw_0007_3,826795.0,118600.0,18384.0,3.0,-1.3452849630338506,413.65040023831176,556.4776633935347,1669.432990180604,1985472.0
dw_0095_3,818262.0,110067.0,9851.0,3.0,-1.1392262088325984,186.32587580461794,212.26732110030846,636.8019633009254,1063908.0
dw_0166_1,816638.0,108443.0,8227.0,1.0,-1.1092443769426714,550.9709850283216,611.1614670012306,611.1614670012306,2665548.0
dw_0254_1,811228.0,103033.0,2817.0,1.0,-1.153240873619119,178.99057408347613,206.41924602561568,206.41924602561568,912708.0
dw_0006_5,832441.0,124246.0,24030.0,5.0,-1.2378986924134305,376.5822033730096,466.17061714161713,2330.8530857080855,1557144.0
dw_0281_4,822325.0,114130.0,13914.0,4.0,-0.7740806038132444,280.98774762273536,217.50716534393052,870.0286613757221,1127034.0
dw_0033_4,823664.0,115469.0,15253.0,4.0,-1.367059088941077,214.99129678526106,293.9058063135197,1175.6232252540788,1235493.0
dw_0251_4,820860.0,112665.0,12449.0,4.0,-1.0563908270335383,217.74058864328438,230.01916051564865,920.0766420625946,1008369.0
dw_0059_5,826009.0,117814.0,17598.0,5.0,-0.9922350734768285,238.18905274227382,236.33953224910624,1181.6976612455312,1140350.4
dw_0259_1,810677.0,102482.0,2266.0,1.0,-0.2281516815837713,162.9917699807458,37.18684640542241,37.18684640542241,734184.0
dw_0232_1,817886.0,109691.0,9475.0,1.0,-0.5623911924720125,599.969705454063,337.41767809739264,337.41767809739264,3069900.0
dw_0015_1,816518.0,108323.0,8107.0,1.0,-1.688215231439774,479.97472379980053,810.3006394249219,810.3006394249219,2626668.0
dw_0061_2,816090.0,107895.0,7679.0,2.0,-0.5818283767771847,261.48812264577236,152.14120994550314,304.28241989100627,1243998.0
dw_0297_4,822041.0,113846.0,13630.0,4.0,-0.7872361605913707,247.49035897329378,194.83335998151588,779.3334399260635,1104030.0
dw_0231_1,813826.0,105631.0,5415.0,1.0,-1.798770759708739,300.9841497163244,541.4014876455217,541.4014876455217,1754460.0
dw_0261_5,826054.0,117859.0,17643.0,5.0,-1.1784524318324159,290.5882040337625,342.4443757054017,1712.2218785270084,1143266.4
dw_0150_2,811367.0,103172.0,2956.0,2.0,-0.6151650622491448,101.49603139664512,62.43681247215835,124.8736249443167,478872.0
dw_0212_1,816498.0,108303.0,8087.0,1.0,-0.9066468025826204,564.9702478062146,512.2284687278152,512.2284687278152,2620188.0
dw_0236_3,817225.0,109030.0,8814.0,3.0,-1.1498681011361311,146.66073257102195,168.64049807267494,505.9214942180248,951912.0
dw_0074_2,812964.0,104769.0,4553.0,2.0,-1.3405168026069125,89.99619968273211,120.64141784546929,241.28283569093858,737586.0
dw_0222_1,816096.0,107901.0,7685.0,1.0,-1.0054517986581724,515.9728280847855,518.7858080565916,518.7858080565916,2489940.0
dw_0062_5,823290.0,115095.0,14879.0,5.0,-0.755332487243823,213.391105099155,161.18123417025276,805.9061708512638,964159.2000000001
dw_0250_1,815727.0,107532.0,7316.0,1.0,-0.5537850625823979,557.9706164184649,308.99579273243876,308.99579273243876,2370384.0
dw_0129_3,824521.0,116326.0,16110.0,3.0,-0.8530967043521273,385.31688068228164,328.7125610412963,986.1376831238888,1739880.0
dw_0195_5,833978.0,125783.0,25567.0,5.0,-1.0084803580786257,394.7820916806476,398.12998518112835,1990.6499259056418,1656741.5999999999
dw_0268_3,822939.0,114744.0,14528.0,3.0,-0.7318742791807762,293.9884743814492,215.1626027753792,645.4878083261376,1569024.0
dw_0158_3,827802.0,119607.0,19391.0,3.0,-0.6442031150629526,459.6476461376729,296.1064454732426,888.3193364197278,2094228.0
dw_0049_3,822936.0,114741.0,14525.0,3.0,-1.371115147474354,292.3222484893755,400.80746284754485,1202.4223885426345,1568700.0
dw_0165_5,833160.0,124965.0,24749.0,5.0,-0.7004562390416884,439.9797218957998,308.1865412537399,1540.9327062686996,1603735.2
dw_0052_2,815884.0,107689.0,7473.0,2.0,-0.45884513051219317,233.49061984663314,107.13603393690126,214.2720678738025,1210626.0
dw_0099_2,826434.0,118239.0,18023.0,2.0,-1.0315803984666512,569.4759511787545,587.4602286341548,1174.9204572683095,2919726.0
dw_0116_4,824889.0,116694.0,16478.0,4.0,-1.180675818697283,309.73695672004345,365.6989349562422,1462.795739824969,1334718.0
dw_0220_3,827065.0,118870.0,18654.0,3.0,-0.6438799158122368,533.3113374865032,343.38845908252114,1030.1653772475634,2014632.0
dw_0092_1,809862.0,101667.0,1451.0,1.0,-1.0277349083895082,92.99510273561295,95.57431339065808,95.57431339065808,470124.0
dw_0181_1,818074.0,109879.0,9663.0,1.0,-1.507009104742847,599.9684047497507,904.1578485159159,904.1578485159159,3130812.0
dw_0020_1,814011.0,105816.0,5600.0,1.0,-0.8406850576829783,344.98258063632557,290.0217007018721,290.0217007018721,1814400.0
dw_0058_4,820930.0,112735.0,12519.0,4.0,-1.4264095669168768,210.99106298803363,300.95967078009255,1203.8386831203702,1014039.0
dw_0112_4,831543.0,123348.0,23132.0,4.0,-0.9588576481246656,449.47998772651033,430.98732391054523,1723.949295642181,1873692.0
dw_0044_1,819748.0,111553.0,11337.0,1.0,-1.6983171904968026,551.9721290171636,937.423755384968,937.423755384968,3673188.0
