,inundation,breach_area,simulation_name,num_breaches
284,34.830972,0.014905113760029204,loc_0068_0035,35.0
285,47.342232,0.08805777431135545,loc_0249_273,273.0
287,40.86612,0.025292289730111543,loc_0306_80,80.0
288,39.765492,0.02221634427819692,loc_0380_73,73.0
289,47.171484,0.06066832208019424,loc_0224_177,177.0
291,27.52704,0.0068592797069741375,loc_0096_0026,26.0
292,35.890128,0.018515892093477506,loc_0013_0049,49.0
293,25.771932,0.00904184973431802,loc_0088_0026,26.0
294,48.111408,0.08691337620093549,loc_0211_287,287.0
295,45.391104,0.038799102795266556,loc_0355_116,116.0
296,33.649344,0.015864367660659233,loc_0030_0046,46.0
297,34.741548,0.015433883012322283,loc_0075_0045,45.0
298,21.09888,0.008980768260333153,loc_0085_0023,23.0
299,48.282804,0.07911642119406942,loc_0327_239,239.0
300,36.612324,0.01635438859284521,loc_0049_0047,47.0
301,30.947184,0.011576909948556945,loc_0106_0032,32.0
302,44.987076,0.04403697054966934,loc_0261_129,129.0
303,47.384352,0.06961976857308844,loc_0215_210,210.0
304,36.600336,0.017238202308125065,loc_0015_0045,45.0
305,40.481208,0.02672430290397915,loc_0351_82,82.0
306,48.612636,0.09576237834549373,loc_0214_287,287.0
308,39.065328,0.018957097707591287,loc_0375_64,64.0
309,47.02374,0.06708593694695995,loc_0369_195,195.0
310,48.89484,0.08813455696670736,loc_0269_279,279.0
311,27.86886,0.008070215254204415,loc_0221_23,23.0
312,46.158336,0.05742491289941703,loc_0262_180,180.0
